time,dt,state,T_gas,T_steam,p_gas,p_steam
0,864000.0,1,900,525,0.2,17
864000.0,864000.0,1,900,525,0.2,17
1728000.0,864000.0,1,900,525,0.2,17
2592000.0,864000.0,1,900,525,0.2,17
3456000.0,864000.0,1,900,525,0.2,17
4320000.0,864000.0,1,900,525,0.2,17
5184000.0,864000.0,1,900,525,0.2,17
6048000.0,864000.0,1,900,525,0.2,17
6912000.0,864000.0,1,900,525,0.2,17
7776000.0,864000.0,1,900,525,0.2,17
8640000.0,864000.0,1,900,525,0.2,17
9504000.0,864000.0,1,900,525,0.2,17
10368000.0,864000.0,1,900,525,0.2,17
11232000.0,864000.0,1,900,525,0.2,17
12096000.0,864000.0,1,900,525,0.2,17
12960000.0,864000.0,1,900,525,0.2,17
13824000.0,864000.0,1,900,525,0.2,17
14688000.0,864000.0,1,900,525,0.2,17
15552000.0,864000.0,1,900,525,0.2,17
15555600.0,3600.0,6,754.1666666666667,441.6666666666667,0.18333333333333335,14.183333333333334
15559200.0,3600.0,6,608.3333333333334,358.33333333333337,0.16666666666666669,11.366666666666667
15562800.0,3600.0,6,462.5,275.0,0.15000000000000002,8.55
15566400.0,3600.0,6,316.66666666666674,191.66666666666669,0.13333333333333336,5.733333333333334
15570000.0,3600.0,6,170.83333333333326,108.33333333333331,0.11666666666666667,2.916666666666668
15573600.0,90000.0,3,25,25,0.1,0.1
15663600.0,1800.0,7,25.0,25.0,0.1,0.1
15665400.0,1800.0,7,170.83333333333331,108.33333333333333,0.11666666666666667,2.9166666666666665
15667200.0,1800.0,7,316.66666666666663,191.66666666666666,0.13333333333333333,5.7333333333333325
15669000.0,1800.0,7,462.5,275.0,0.15000000000000002,8.549999999999999
15670800.0,1800.0,7,608.3333333333333,358.3333333333333,0.16666666666666669,11.366666666666665
15672600.0,1800.0,7,754.1666666666667,441.6666666666667,0.18333333333333335,14.183333333333332
15674400.0,864000.0,1,900,525,0.2,17
16538400.0,864000.0,1,900,525,0.2,17
17402400.0,864000.0,1,900,525,0.2,17
18266400.0,864000.0,1,900,525,0.2,17
19130400.0,864000.0,1,900,525,0.2,17
19994400.0,864000.0,1,900,525,0.2,17
20858400.0,864000.0,1,900,525,0.2,17
21722400.0,864000.0,1,900,525,0.2,17
22586400.0,864000.0,1,900,525,0.2,17
23450400.0,864000.0,1,900,525,0.2,17
24314400.0,864000.0,1,900,525,0.2,17
25178400.0,864000.0,1,900,525,0.2,17
26042400.0,864000.0,1,900,525,0.2,17
26906400.0,864000.0,1,900,525,0.2,17
27770400.0,864000.0,1,900,525,0.2,17
28634400.0,864000.0,1,900,525,0.2,17
29498400.0,864000.0,1,900,525,0.2,17
30362400.0,864000.0,1,900,525,0.2,17
31226400.0,864000.0,1,900,525,0.2,17
31230000.0,3600.0,6,754.1666666666667,441.6666666666667,0.18333333333333335,14.183333333333334
31233600.0,3600.0,6,608.3333333333334,358.33333333333337,0.16666666666666669,11.366666666666667
31237200.0,3600.0,6,462.5,275.0,0.15000000000000002,8.55
31240800.0,3600.0,6,316.66666666666674,191.66666666666669,0.13333333333333336,5.733333333333334
31244400.0,3600.0,6,170.83333333333326,108.33333333333331,0.11666666666666667,2.916666666666668
31248000.0,90000.0,3,25,25,0.1,0.1
31338000.0,1800.0,7,25.0,25.0,0.1,0.1
31339800.0,1800.0,7,170.83333333333331,108.33333333333333,0.11666666666666667,2.9166666666666665
31341600.0,1800.0,7,316.66666666666663,191.66666666666666,0.13333333333333333,5.7333333333333325
31343400.0,1800.0,7,462.5,275.0,0.15000000000000002,8.549999999999999
31345200.0,1800.0,7,608.3333333333333,358.3333333333333,0.16666666666666669,11.366666666666665
31347000.0,1800.0,7,754.1666666666667,441.6666666666667,0.18333333333333335,14.183333333333332
31348800.0,864000.0,1,900,525,0.2,17
32212800.0,864000.0,1,900,525,0.2,17
33076800.0,864000.0,1,900,525,0.2,17
33940800.0,864000.0,1,900,525,0.2,17
34804800.0,864000.0,1,900,525,0.2,17
35668800.0,864000.0,1,900,525,0.2,17
36532800.0,864000.0,1,900,525,0.2,17
37396800.0,864000.0,1,900,525,0.2,17
38260800.0,864000.0,1,900,525,0.2,17
39124800.0,864000.0,1,900,525,0.2,17
39988800.0,864000.0,1,900,525,0.2,17
40852800.0,864000.0,1,900,525,0.2,17
41716800.0,864000.0,1,900,525,0.2,17
42580800.0,864000.0,1,900,525,0.2,17
43444800.0,864000.0,1,900,525,0.2,17
44308800.0,864000.0,1,900,525,0.2,17
45172800.0,864000.0,1,900,525,0.2,17
46036800.0,864000.0,1,900,525,0.2,17
46900800.0,864000.0,1,900,525,0.2,17
46904400.0,3600.0,6,754.1666666666667,441.6666666666667,0.18333333333333335,14.183333333333334
46908000.0,3600.0,6,608.3333333333334,358.33333333333337,0.16666666666666669,11.366666666666667
46911600.0,3600.0,6,462.5,275.0,0.15000000000000002,8.55
46915200.0,3600.0,6,316.66666666666674,191.66666666666669,0.13333333333333336,5.733333333333334
46918800.0,3600.0,6,170.83333333333326,108.33333333333331,0.11666666666666667,2.916666666666668
46922400.0,90000.0,3,25,25,0.1,0.1
47012400.0,1800.0,7,25.0,25.0,0.1,0.1
47014200.0,1800.0,7,170.83333333333331,108.33333333333333,0.11666666666666667,2.9166666666666665
47016000.0,1800.0,7,316.66666666666663,191.66666666666666,0.13333333333333333,5.7333333333333325
47017800.0,1800.0,7,462.5,275.0,0.15000000000000002,8.549999999999999
47019600.0,1800.0,7,608.3333333333333,358.3333333333333,0.16666666666666669,11.366666666666665
47021400.0,1800.0,7,754.1666666666667,441.6666666666667,0.18333333333333335,14.183333333333332
47023200.0,864000.0,1,900,525,0.2,17
47887200.0,864000.0,1,900,525,0.2,17
48751200.0,864000.0,1,900,525,0.2,17
49615200.0,864000.0,1,900,525,0.2,17
50479200.0,864000.0,1,900,525,0.2,17
51343200.0,864000.0,1,900,525,0.2,17
52207200.0,864000.0,1,900,525,0.2,17
53071200.0,864000.0,1,900,525,0.2,17
53935200.0,864000.0,1,900,525,0.2,17
54799200.0,864000.0,1,900,525,0.2,17
55663200.0,864000.0,1,900,525,0.2,17
56527200.0,864000.0,1,900,525,0.2,17
57391200.0,864000.0,1,900,525,0.2,17
58255200.0,864000.0,1,900,525,0.2,17
59119200.0,864000.0,1,900,525,0.2,17
59983200.0,864000.0,1,900,525,0.2,17
60847200.0,864000.0,1,900,525,0.2,17
61711200.0,864000.0,1,900,525,0.2,17
62575200.0,864000.0,1,900,525,0.2,17
62578800.0,3600.0,6,754.1666666666667,441.6666666666667,0.18333333333333335,14.183333333333334
62582400.0,3600.0,6,608.3333333333334,358.33333333333337,0.16666666666666669,11.366666666666667
62586000.0,3600.0,6,462.5,275.0,0.15000000000000002,8.55
62589600.0,3600.0,6,316.66666666666674,191.66666666666669,0.13333333333333336,5.733333333333334
62593200.0,3600.0,6,170.83333333333326,108.33333333333331,0.11666666666666667,2.916666666666668
62596800.0,90000.0,3,25,25,0.1,0.1
62686800.0,1800.0,7,25.0,25.0,0.1,0.1
62688600.0,1800.0,7,170.83333333333331,108.33333333333333,0.11666666666666667,2.9166666666666665
62690400.0,1800.0,7,316.66666666666663,191.66666666666666,0.13333333333333333,5.7333333333333325
62692200.0,1800.0,7,462.5,275.0,0.15000000000000002,8.549999999999999
62694000.0,1800.0,7,608.3333333333333,358.3333333333333,0.16666666666666669,11.366666666666665
62695800.0,1800.0,7,754.1666666666667,441.6666666666667,0.18333333333333335,14.183333333333332
62697600.0,864000.0,1,900,525,0.2,17
63561600.0,864000.0,1,900,525,0.2,17
64425600.0,864000.0,1,900,525,0.2,17
65289600.0,864000.0,1,900,525,0.2,17
66153600.0,864000.0,1,900,525,0.2,17
67017600.0,864000.0,1,900,525,0.2,17
67881600.0,864000.0,1,900,525,0.2,17
68745600.0,864000.0,1,900,525,0.2,17
69609600.0,864000.0,1,900,525,0.2,17
70473600.0,864000.0,1,900,525,0.2,17
71337600.0,864000.0,1,900,525,0.2,17
72201600.0,864000.0,1,900,525,0.2,17
73065600.0,864000.0,1,900,525,0.2,17
73929600.0,864000.0,1,900,525,0.2,17
74793600.0,864000.0,1,900,525,0.2,17
75657600.0,864000.0,1,900,525,0.2,17
76521600.0,864000.0,1,900,525,0.2,17
77385600.0,864000.0,1,900,525,0.2,17
78249600.0,864000.0,1,900,525,0.2,17
78253200.0,3600.0,6,754.1666666666667,441.6666666666667,0.18333333333333335,14.183333333333334
78256800.0,3600.0,6,608.3333333333334,358.33333333333337,0.16666666666666669,11.366666666666667
78260400.0,3600.0,6,462.5,275.0,0.15000000000000002,8.55
78264000.0,3600.0,6,316.66666666666674,191.66666666666669,0.13333333333333336,5.733333333333334
78267600.0,3600.0,6,170.83333333333326,108.33333333333331,0.11666666666666667,2.916666666666668
78271200.0,90000.0,3,25,25,0.1,0.1
78361200.0,1800.0,7,25.0,25.0,0.1,0.1
