time,F,d,ep,stress
0,0,0,0,0
0.025,1.0001,0,0,6.8798573292499
0.05,1.0002,0,0,13.759429398862
0.075,1.0003,0,0,20.638716331722
0.1,1.0004,0,0,27.517718250308
0.125,1.0005,0,0,34.396435277381
0.15,1.0006,0,0,41.274867535426
0.175,1.0007,0,0,48.153015146969
0.2,1.0008,0,0,55.030878234456
0.225,1.0009,0,0,61.908456920256
0.25,1.001,0,0,68.785751326659
